ENSMUSG00000008575	ENSMUSG00000005583	ENSMUSG00000040732	ENSMUSG00000025959	ENSMUSG00000000317	ENSMUSG00000020160	ENSMUSG00000064141	ENSMUSG00000032035	ENSMUSG00000050919	ENSMUSG00000031627	ENSMUSG00000069378	ENSMUSG00000044167	ENSMUSG00000031103	ENSMUSG00000025529	ENSMUSG00000029553	ENSMUSG00000006311	ENSMUSG00000055435	ENSMUSG00000022895	ENSMUSG00000053477	ENSMUSG00000018604	ENSMUSG00000008398	ENSMUSG00000029178	ENSMUSG00000024238	ENSMUSG00000027684	ENSMUSG00000062327	ENSMUSG00000028565	ENSMUSG00000000078	ENSMUSG00000023902	ENSMUSG00000027583	ENSMUSG00000028163	ENSMUSG00000038227	ENSMUSG00000024985	ENSMUSG00000053007	ENSMUSG00000022150	ENSMUSG00000040929	ENSMUSG00000046470	ENSMUSG00000024406	ENSMUSG00000020484	ENSMUSG00000000094	ENSMUSG00000024140	ENSMUSG00000063632	ENSMUSG00000044220	ENSMUSG00000025902	ENSMUSG00000026628	ENSMUSG00000040270	ENSMUSG00000020185	ENSMUSG00000057098	ENSMUSG00000038236	ENSMUSG00000055148	ENSMUSG00000027210	ENSMUSG00000030788	ENSMUSG00000042439	ENSMUSG00000048402	ENSMUSG00000032446	ENSMUSG00000030341	ENSMUSG00000027361	ENSMUSG00000027547	ENSMUSG00000000938	ENSMUSG00000068551	ENSMUSG00000018698	ENSMUSG00000058881	ENSMUSG00000055799	ENSMUSG00000028466	ENSMUSG00000071637	ENSMUSG00000048410	ENSMUSG00000040433	ENSMUSG00000034041	ENSMUSG00000021877	ENSMUSG00000047003	ENSMUSG00000007805	ENSMUSG00000079277	ENSMUSG00000075040	ENSMUSG00000055053	ENSMUSG00000033713	ENSMUSG00000026436	ENSMUSG00000016087	ENSMUSG00000056758	ENSMUSG00000075588	ENSMUSG00000026104	ENSMUSG00000038700	ENSMUSG00000026398	ENSMUSG00000036139	ENSMUSG00000021972	ENSMUSG00000021506	ENSMUSG00000037465	ENSMUSG00000023079	ENSMUSG00000099083	ENSMUSG00000038210	ENSMUSG00000019564	ENSMUSG00000034762	ENSMUSG00000062991	ENSMUSG00000022346	ENSMUSG00000019256	ENSMUSG00000026890	ENSMUSG00000002393	ENSMUSG00000038151	ENSMUSG00000015522	ENSMUSG00000040289	ENSMUSG00000030544	ENSMUSG00000030199	ENSMUSG00000008575peak	ENSMUSG00000005583peak	ENSMUSG00000040732peak	ENSMUSG00000025959peak	ENSMUSG00000000317peak	ENSMUSG00000020160peak	ENSMUSG00000064141peak	ENSMUSG00000032035peak	ENSMUSG00000050919peak	ENSMUSG00000031627peak	ENSMUSG00000069378peak	ENSMUSG00000044167peak	ENSMUSG00000031103peak	ENSMUSG00000025529peak	ENSMUSG00000029553peak	ENSMUSG00000006311peak	ENSMUSG00000055435peak	ENSMUSG00000022895peak	ENSMUSG00000053477peak	ENSMUSG00000018604peak	ENSMUSG00000008398peak	ENSMUSG00000029178peak	ENSMUSG00000024238peak	ENSMUSG00000027684peak	ENSMUSG00000062327peak	ENSMUSG00000028565peak	ENSMUSG00000000078peak	ENSMUSG00000023902peak	ENSMUSG00000027583peak	ENSMUSG00000028163peak	ENSMUSG00000038227peak	ENSMUSG00000024985peak	ENSMUSG00000053007peak	ENSMUSG00000022150peak	ENSMUSG00000040929peak	ENSMUSG00000046470peak	ENSMUSG00000024406peak	ENSMUSG00000020484peak	ENSMUSG00000000094peak	ENSMUSG00000024140peak	ENSMUSG00000063632peak	ENSMUSG00000044220peak	ENSMUSG00000025902peak	ENSMUSG00000026628peak	ENSMUSG00000040270peak	ENSMUSG00000020185peak	ENSMUSG00000057098peak	ENSMUSG00000038236peak	ENSMUSG00000055148peak	ENSMUSG00000027210peak	ENSMUSG00000030788peak	ENSMUSG00000042439peak	ENSMUSG00000048402peak	ENSMUSG00000032446peak	ENSMUSG00000030341peak	ENSMUSG00000027361peak	ENSMUSG00000027547peak	ENSMUSG00000000938peak	ENSMUSG00000068551peak	ENSMUSG00000018698peak	ENSMUSG00000058881peak	ENSMUSG00000055799peak	ENSMUSG00000028466peak	ENSMUSG00000071637peak	ENSMUSG00000048410peak	ENSMUSG00000040433peak	ENSMUSG00000034041peak	ENSMUSG00000021877peak	ENSMUSG00000047003peak	ENSMUSG00000007805peak	ENSMUSG00000079277peak	ENSMUSG00000075040peak	ENSMUSG00000055053peak	ENSMUSG00000033713peak	ENSMUSG00000026436peak	ENSMUSG00000016087peak	ENSMUSG00000056758peak	ENSMUSG00000075588peak	ENSMUSG00000026104peak	ENSMUSG00000038700peak	ENSMUSG00000026398peak	ENSMUSG00000036139peak	ENSMUSG00000021972peak	ENSMUSG00000021506peak	ENSMUSG00000037465peak	ENSMUSG00000023079peak	ENSMUSG00000099083peak	ENSMUSG00000038210peak	ENSMUSG00000019564peak	ENSMUSG00000034762peak	ENSMUSG00000062991peak	ENSMUSG00000022346peak	ENSMUSG00000019256peak	ENSMUSG00000026890peak	ENSMUSG00000002393peak	ENSMUSG00000038151peak	ENSMUSG00000015522peak	ENSMUSG00000040289peak	ENSMUSG00000030544peak	ENSMUSG00000030199peak
hep28	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	3	0	0	0	1	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	6	0	0	4	3	0	0	8	1	2	2	2	4	0	0	0	0	0	5	2	4	3	0	9	0	0	3	0	4	2	0	3	0	2	5	0	0	0	3	2	1	0	0	5	2	0	4	2	0	0	0	2	2	0	2	2	1	3	0	2	2	1	0	0	1	0	2	2	0	0	1	0	3	5	0	0	3	0	2	0	2	3	4	2	6	1	0	0	2	6	3	5	2	2	0	4	2	6	2	3
hep29	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	2	0	0	1	2	0	0	0	0	1	2	0	0	1	0	0	1	0	1	0	1	0	15	0	0	2	1	1	0	0	0	0	2	0	0	0	0	2	1	0	1	0	0	2	0	1	0	0	0	2	1	6	2	0	0	0	1	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	6	2	2	12	0	0	3	0	0	3	5	4	0	0	0	0	3	0	1	4	0	0	3	0	6	0	4	0	0	2	0	0	2	8	0	0	0	2	0	0	2	2	0	0	4	10	0	0	4	0	8	2	2	3	1	0	0	4	2	2	1	2	3	2	0	0	0	0	0	0	2	2	0	6	3	2	10	0	0	2	0	0	0	4	0	6	0	2	0	2	6	4	2	2	0	5	0	0	0	0	0
hep30	1	0	0	0	0	0	0	1	0	0	3	1	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	2	1	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	1	0	0	3	1	0	0	0	0	7	0	3	0	0	0	0	0	0	1	0	0	1	1	0	0	0	7	0	0	0	0	0	0	0	0	3	4	2	2	0	0	4	0	0	2	0	0	2	0	4	0	0	2	1	4	6	0	2	2	4	0	5	2	0	2	1	0	6	1	0	4	0	2	0	2	6	0	0	0	2	5	0	4	0	0	1	0	1	0	0	0	3	2	2	2	4	7	1	0	0	0	0	4	2	0	0	1	1	2	3	2	6	5	0	0	1	2	0	4	0	4	0	1	0	1	0	8	1	2	6	0	0	2	2	2	8
hep31	2	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	2	3	1	0	1	1	1	0	0	1	0	1	0	4	0	1	2	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	4	0	0	4	1	0	1	0	0	0	0	0	4	0	1	3	1	0	0	1	0	1	0	0	2	2	0	1	0	0	1	0	0	0	0	0	0	0	7	0	2	5	0	0	0	2	1	0	4	0	3	0	0	0	2	0	2	6	0	2	2	2	16	0	2	3	2	0	3	0	8	2	2	0	0	0	4	0	2	3	0	0	3	10	0	5	0	1	4	2	2	3	0	0	2	3	0	4	0	8	10	3	1	4	1	2	4	4	0	2	2	5	6	0	1	0	0	0	0	4	1	2	2	3	0	4	0	0	1	2	8	0	0	5	3	4	0	0	4
hep32	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	3	0	2	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	2	2	0	0	19	0	2	0	0	0	0	5	0	1	0	2	2	0	0	0	0	0	0	0	1	0	19	2	0	1	5	0	1	0	0	1	0	0	0	0	0	0	0	2	0	19	2	5	0	0	0	0	0	19	0	0	0	0	0	2	2	0	19	0	0	5	0	0	0	0	2	2	0	0	5	0	0	0	0	2	0	0	0	1	5	1	0	2	1	2	2	14	5	2	0	0	0	0	2	0	2
hep33	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	6	1	0	0	1	0	0	0	0	1	4	3	0	0	2	2	0	6	1	7	4	4	0	0	0	2	1	0	7	5	5	8	0	7	0	2	2	2	7	4	0	3	0	0	2	3	0	0	0	0	1	0	0	0	2	0	3	0	2	1	2	0	10	4	2	0	2	0	2	2	1	8	2	2	7	0	1	4	0	3	0	1	4	0	0	0	0	5	0	0	0	0	1	0	0	0	2	0	0	2	6	0	0	1	0	6	0	0	0	7
hep34	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	8	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	10	2	0	2	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	14	2	2	0	0	4	0	2	0	0	1	1	0	0	1	0	4	0	0	0	4	2	0	0	0	0	1	0	0	0	0	2	0	2	0	2	0	0	0	0	2	7	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	4	7	0	0	2	0	0	0	14	0	1	0	0	7	0	1	2	0	0
hep35	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	4	3	1	0	0	0	1	0	1	1	0	1	0	1	0	1	3	0	1	0	0	0	1	0	0	0	1	2	2	0	0	1	0	3	0	0	0	0	6	0	0	1	1	3	0	0	1	0	0	1	1	0	0	0	0	3	0	1	3	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	4	2	2	2	0	5	1	2	1	0	11	2	5	0	0	0	2	2	4	6	5	6	1	8	2	2	4	1	2	5	0	14	5	0	4	2	2	2	1	2	2	8	1	2	9	2	6	1	0	5	1	8	4	2	2	0	4	0	4	8	12	6	0	1	4	1	0	4	2	0	6	0	5	13	2	2	5	1	1	2	2	2	5	5	2	2	4	1	5	5	2	4	1	1	4	4	1	1	0	7
hep36	0	0	1	3	0	2	0	0	0	0	2	0	0	2	0	0	0	2	2	0	0	0	0	0	1	0	1	0	2	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	5	1	0	0	0	0	0	1	0	0	2	1	0	0	0	3	0	0	0	0	0	1	0	0	11	6	0	1	4	1	1	0	4	1	0	7	1	0	0	1	0	1	0	3	1	0	4	0	4	0	1	1	0	3	10	1	3	3	1	1	0	1	0	0	0	1	3	0	4	1	0	4	1	0	0	0	2	3	3	1	1	3	1	1	5	2	1	1	0	1	1	1	0	1	0	0	3	6	2	0	3	2	1	3	0	0	0	0	0	1	0	1	0	3	1	2	1	0	1	3	3	0	2	0	4
hep37	1	0	0	1	0	0	0	0	0	2	1	0	0	1	0	0	0	1	6	2	0	0	1	2	0	1	2	1	0	1	0	1	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	2	1	0	2	0	1	1	0	0	0	0	0	2	1	6	6	0	0	0	0	0	2	0	0	0	2	0	2	1	12	0	0	0	0	0	1	0	0	1	9	2	2	0	5	2	0	0	2	0	5	9	1	0	2	1	0	0	2	4	2	5	0	6	0	2	0	2	2	3	2	4	4	0	6	0	0	0	2	2	4	2	3	0	2	4	5	0	0	0	3	1	0	0	0	1	0	1	1	0	3	0	0	0	5	0	1	4	0	2	2	1	5	3	2	5	5	1	1	0	2	0	1	3	0	2	2	3	0	2	19	3	0	0	4	1	0	4	2	3
hep38	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	2	2	0	0	0	0	0	2	2	4	1	2	0	0	0	0	0	4	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	2	1	3	0	1	5	4	0	0	0	0	0	3	0	4	2	2	3	0	2	0	0	0	3	0	0	3	0	0	0	2	0	0	2	13	13	0	0	2	1	0	0	0	0	1	0	1	4	0	0	1	0	2	0	0	0	2	2	0	2	0	5
hep39	1	0	0	1	0	0	0	2	0	0	5	0	0	0	0	1	2	0	5	2	3	0	5	0	10	0	0	1	1	0	0	1	0	0	2	0	1	2	0	0	2	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	2	1	0	0	2	0	0	1	1	0	0	0	0	5	0	5	2	0	0	0	0	0	2	0	0	1	0	0	0	0	3	1	0	0	0	0	1	0	0	4	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	2	2	0	0	10	2	0	2	10	0	0	0	0	2	0	2	0	0	10	0	2	0	2	0	0	10	1	0	0	1	10	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	18	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	10	2	0	0	0	1
hep40	2	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	2	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	2	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	5	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	3	4	12	0	2	0	2	0	0	0	4	0	2	0	0	0	0	2	2	0	0	0	0	0	0	2	3	4	2	0	0	0	0	0	2	2	2	2	0	2	12	0	1	2	0	0	0	0	12	0	0	2	1	0	0	0	3	1	0	0	14	0	1	1	2	2	0	0	0	0	0	3	6	0	2	1	0	0	0	0	0	2	0	2	1	2	0	0	2	1	0	12	2	4	2	0	2	0	12
hep41	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1	1	0	0	0	11	0	0	0	0	0	0	0	0	0	7	0	2	20	0	7	0	14	1	7	4	0	0	0	0	0	0	0	14	7	7	0	0	4	1	0	2	0	2	0	4	2	0	2	0	0	0	0	2	0	0	7	0	2	4	0	0	1	7	2	0	0	20	0	2	4	0	0	0	20	4	7	0	0	0	0	2	1	0	2	14	1	7	7	0	7	2	0	0	14	0	2	0	0	2	0	0	2	19	1	0	2	0	0	7	2	0	1	0	0
hep42	4	0	0	0	0	0	0	3	0	0	3	0	0	2	0	0	0	0	4	0	0	0	3	0	2	0	2	1	0	0	0	5	0	0	3	0	1	0	0	0	5	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	2	0	0	2	1	2	0	0	1	0	0	3	0	0	0	0	0	10	1	1	1	0	0	0	1	0	2	0	0	1	1	0	0	2	1	1	0	0	0	0	2	0	1	18	8	1	1	0	2	7	1	2	0	0	2	2	0	1	0	0	1	0	1	2	1	8	0	7	1	1	1	0	1	2	2	7	1	1	2	1	1	1	2	1	0	1	1	0	9	0	7	1	0	1	1	2	0	0	1	1	0	7	0	0	2	7	1	2	0	0	1	1	1	0	0	0	14	10	4	2	1	0	1	1	0	0	1	1	2	0	0	1	2	4	5	1	0	2	0	1	1	1	0	5
hep43	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	0	1	0	1	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	4	1	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	3	1	0	0	0	0	1	0	0	0	1	0	2	1	1	1	0	0	0	0	7	0	0	0	1	1	6	0	4	0	1	0	0	2	1	0	2	2	1	7	0	4	1	0	0	0	0	1	0	1	1	2	0	4	4	7	2	1	1	1	2	1	1	1	0	2	0	1	0	2	1	1	0	0	0	2	0	0	2	0	1	0	2	7	4	2	0	0	0	0	1	1	1	0	4	0	1	0	1	7	4	4	1	0	4	0	0	0	0	7
hep44	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	2	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	2	1	1	1	1	3	0	1	0	0	5	1	0	0	0	0	0	0	5	3	1	1	1	5	1	2	0	1	1	0	0	4	0	0	1	0	3	2	1	5	0	0	1	1	5	0	2	0	1	1	0	1	4	1	0	0	2	0	3	0	5	7	0	0	7	1	0	1	0	0	4	1	3	1	1	1	1	0	1	0	0	3	3	0	3	0	1	0	3	1	3	0	0	1	1	4	0	0	0	5
hep45	1	0	0	0	0	0	0	0	0	0	5	0	0	6	0	0	0	0	5	0	1	0	0	0	0	0	1	0	0	0	0	6	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	2	0	1	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	16	0	0	0	0	0	0	0	1	2	2	2	8	6	0	9	1	1	0	1	1	4	1	2	1	0	0	0	0	2	0	1	2	2	0	2	4	2	9	4	2	1	1	2	1	1	0	1	1	2	1	1	1	0	0	1	4	1	0	0	0	1	4	0	1	0	2	0	0	1	4	2	2	1	6	0	1	2	0	1	4	0	6	2	0	4	1	0	1	0	0	0	1	0	4	1	2	1	1	1	2	2	0	1	0	2	0	1	0	1
hep46	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	3	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	1	0	20	1	0	0	0	0	0	1	0	0	1	1	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	2	4	0	0	0	0	0	0	0	2	2	4	0	0	18	0	0	2	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	18	0	18	0	0	0	1	2	18	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	2	2	0	0	0	2	1	2	0	0
hep47	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	5	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	15	15	0	0	15	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	15	15	0	0	1	0	15	0	0	12	0	0	0	0	0	0	0	1	0	0	0	9	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	15	0	0	1	0	0	0	0	0	15
hep48	0	1	0	3	0	1	0	1	0	0	5	0	0	2	0	0	1	0	3	0	0	0	4	2	0	0	1	0	0	0	0	1	0	1	3	0	0	0	0	0	7	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	5	3	1	7	5	1	2	1	7	0	4	4	5	1	0	0	1	0	2	7	0	4	1	0	14	1	2	2	1	2	1	2	1	0	0	2	1	1	1	1	3	2	1	1	4	7	1	2	0	2	7	0	1	7	1	2	1	4	1	1	4	4	7	1	0	2	0	0	2	2	1	2	2	7	5	0	2	4	1	0	1	1	0	4	3	2	3	3	0	3	2	3	4	1	1	2	3	1	4	0	4
hep49	1	0	1	0	0	1	1	1	0	0	7	0	0	2	0	1	0	0	2	0	0	0	2	0	2	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	4	1	0	6	0	0	0	0	0	2	0	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	14	0	0	0	0	18	0	0	0	0	0	0	0	0	1	0	0	0	18	0	18	0	1	14	0	0	18	0	0	18	0	0	0	18	0	18	0	0	0	18	0	0	0	0	1	0	0	18	18	0	0	0	0	0	0	0	18	0	0	0	18	0	18	18	0	18	0	1	0	0	18	0	0	0	0	0	0	18	0	1	14	0	0	18	18	18	18	18	0	1	0	0	0	0	0
hep50	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	2	4	0	3	4	0	6	0	7	2	2	3	2	0	0	0	0	1	0	4	4	0	1	0	7	0	3	2	0	0	0	0	11	2	0	4	2	2	0	2	0	1	0	3	5	7	0	0	4	2	5	0	0	4	2	1	1	0	2	0	5	9	6	4	0	1	3	2	5	0	0	3	2	2	4	6	0	9	0	0	1	2	0	2	2	6	5	4	1	2	2	9	3	2	3	4	4	0	0	1	6
